Game ID,Date/Time,Timestamp (ms),Peak Multiplier,Rugged,Game Version,Server Seed,Server Seed Hash,Total Trades,Total Sidebets,Total Price Ticks,Total Candles,First Price,Last Price,Max Price,Min Price
20250323-868565e16a2244a1,2025-03-23 21:37:15,1742765835117,2.2700,Yes,N/A,9655fdf1b28c2cc349548e9f12387e66684434b91aca49f93266a59b173bc0dc,8c6a3274acf0d693a3580f1b13983f8f5d4ddb299ef21761c4fc4b5bf02c7e7d,0,0,295,11,1.0000,0.0120,2.8041,0.0120
20250323-92aa38893fdb4cdc,2025-03-23 21:39:05,1742765945652,7.4406,Yes,N/A,38147faa701116e2cb4bbcf5a34b99f25d2f1b45e9675c5424b48f1b4f446a5d,4b30984b192ccca3c42411a0d0c0d50a2baafad64df1f300a28c52902e919664,0,0,135,77,1.0000,0.0173,3.9516,0.0173
20250323-95b3f96bf1884dc7,2025-03-23 21:42:42,1742766162070,9.2241,Yes,N/A,7f5903a490d73f0c025f28b66e4b1b0e57eb5fb38065a3e10a1381c1007a88ae,fecf3491270f883b20cad2e6d35707e92d5a10555be28a2d8eb1d4020df7f9e0,0,0,416,59,1.0000,0.0088,1.5093,0.0088
20251212-dbb443e2e08a45fd,2025-12-12 22:04:45,1765577085520,1.2118,Yes,v3,5b7aade54a1eebc9a7aba52fb436c62ef00ba53502acd8bf5d3cd617f859399a,c060068eea08fa2d3f9a159a22f47a03abf9f1c5288fbcdc084a4974bd54ef0f,0,10,17,0,1.0000,0.0197,1.2118,0.0197
20251212-c877a17e170c44f9,2025-12-12 22:05:29,1765577129173,1.6207,Yes,v3,0137520d99d36d211d7ecb8d80f49661374252975ebf0b7ec3dcac56a94e6978,5791809073b0681d9a325f2c2a0cc872c8552e61ad10006c11b09c6ab7557d58,0,38,111,0,1.0000,0.0082,1.6207,0.0082
20251212-a1ca096c182b4812,2025-12-12 22:05:51,1765577151055,1.2217,Yes,v3,0917da3fa20eaef4e180c2fa2570a1d87adf4ae4db5e8bb4f492b67ea1bf7635,09e041fd8f1fded4ac468db87079b2edbbbd6dcd9019540d6deb7bc130a41642,0,7,25,0,1.0000,0.0198,1.2217,0.0198
20251212-21ab2947f40a40da,2025-12-12 22:06:54,1765577214029,3.2626,Yes,v3,4f270ce55263a252fd74dcbd09bdce6b7c00f3f5129e12678cb3315520898189,b70574cd206952896d3fdb0e4879998b7c847c20a9c07245f12ff68d04a1545b,0,61,189,0,1.0000,0.0170,3.2626,0.0170
20251212-57b7b020d2d0429f,2025-12-12 22:08:12,1765577292849,2.9866,Yes,v3,26cd485c3a7c953722069c985fe40cc1d9dec49c0e5f23ed3ea3a4986ac6e005,4e7040d21ebba798f22e0c613780aa5ed062862820ffeb14ef7e0b2acdae9d00,0,77,251,0,1.0000,0.0145,2.9866,0.0145
20251212-0f8cc5fc8e864519,2025-12-12 22:09:02,1765577342554,1.6118,Yes,v3,42ab78482924971e44db8b15d511786e6f7a8952c05ee290a5a8980eae64d676,5856247079db68ecb77b122016463f8696d1c110d0893574fd16509085415d5d,0,29,127,0,1.0000,0.0057,1.6118,0.0057
20251212-efcdda86d6a64aa3,2025-12-12 22:11:21,1765577481029,3.7506,Yes,v3,e92e7616c77218da967f81c9ed21780ea0577440f14b87b80d1fec581d8f3470,e64d923d73a63f02efba67de90f898f3bcfbb4af9901a695147c563d3864b50b,0,113,488,0,1.0000,0.0048,3.7506,0.0048
